03:57:31.480 INFO  [com.animeshop.AnimeShopApplication] - Starting AnimeShopApplication using Java 22.0.1 with PID 13872 (C:\Users\ilona\IdeaProjects\anime-shop\target\classes started by ilona in C:\Users\ilona\IdeaProjects\anime-shop)
03:57:31.482 INFO  [com.animeshop.AnimeShopApplication] - No active profile set, falling back to 1 default profile: "default"
03:57:31.513 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
03:57:31.514 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
03:57:31.989 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
03:57:32.042 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 47 ms. Found 6 JPA repository interfaces.
03:57:32.493 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port 8081 (http)
03:57:32.499 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8081"]
03:57:32.500 INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
03:57:32.500 INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.16]
03:57:32.534 INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
03:57:32.534 INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1020 ms
03:57:32.651 INFO  [org.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
03:57:32.693 INFO  [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.3.1.Final
03:57:32.718 INFO  [org.hibernate.cache.internal.RegionFactoryInitiator] - HHH000026: Second-level cache disabled
03:57:32.888 INFO  [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
03:57:32.906 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
03:57:33.024 INFO  [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@30bafc8b
03:57:33.025 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
03:57:33.050 WARN  [org.hibernate.orm.deprecation] - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
03:57:33.745 INFO  [org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
03:57:33.844 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
03:57:34.138 INFO  [org.springframework.data.jpa.repository.query.QueryEnhancerFactory] - Hibernate is in classpath; If applicable, HQL parser will be used.
03:57:34.785 WARN  [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
03:57:34.860 INFO  [org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping] - Adding welcome page template: index
03:57:34.982 INFO  [org.springframework.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4f182e31, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@72800a5e, org.springframework.security.web.context.SecurityContextHolderFilter@3937d296, org.springframework.security.web.header.HeaderWriterFilter@669f7d8e, org.springframework.web.filter.CorsFilter@4d45d864, org.springframework.security.web.csrf.CsrfFilter@70c6f0bb, org.springframework.security.web.authentication.logout.LogoutFilter@27816b62, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5dcc56dc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@452ffa62, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12ed8749, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2c0631ec, org.springframework.security.web.access.ExceptionTranslationFilter@72bd1650, org.springframework.security.web.access.intercept.AuthorizationFilter@34612884]
